comp,value_count,average_placement,group,grp_count,grp_placement
"Ashe, Hecarim, LeeSin, Sett, Shyvana, Swain, Volibear, Yasuo",1,1.0,52,2,3.0
"Bard, Corki, DragonBlue, Hecarim, Jinx, Nunu, Sona, TahmKench, Yasuo",1,1.0,34,29,3.1583333333333337
"AoShin, Bard, Heimerdinger, LeeSin, Lulu, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,35,94,3.3930199430199433
"Bard, Corki, DragonBlue, Hecarim, Jinx, Lulu, Sona, TahmKench, Yasuo",1,1.0,34,29,3.1583333333333337
"AoShin, Bard, Heimerdinger, Lulu, Nami, Olaf, Ornn, Sylas, TrainerDragon",1,1.0,51,23,3.89010989010989
"Bard, Corki, DragonBlue, Jinx, Nunu, Ornn, Sona, TahmKench",1,1.0,34,29,3.1583333333333337
"DragonPurple, Ornn, Pyke, Soraka, Sylas, Thresh, Yasuo",1,1.0,25,655,4.47806193258104
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,35,94,3.3930199430199433
"DragonPurple, Ornn, Pyke, Shen, Sylas, Talon, Taric, Thresh",1,1.0,25,655,4.47806193258104
"DragonPurple, Ornn, Pyke, Qiyana, Sylas, Talon, Thresh, Twitch",1,1.0,12,190,3.9604078264969353
"Anivia, Bard, DragonGreen, Gnar, Neeko, Sona, Talon, Yasuo",1,1.0,18,1288,4.451359161763066
"Anivia, Bard, DragonGreen, Gnar, Neeko, Sona, Soraka, Yasuo",1,1.0,18,1288,4.451359161763066
"Aatrox, Bard, DragonGold, Kayn, Shen, Swain, Volibear, Yasuo",1,1.0,53,1,1.0
"Aatrox, Bard, DragonGold, Kayn, Shen, Swain, Volibear, Zoe",1,1.0,54,28,2.9434782608695653
"Bard, DragonBlue, Leona, Nunu, Ornn, Qiyana, Sejuani, Yasuo",1,1.0,4,1193,3.536269609823293
"DragonPurple, Heimerdinger, Illaoi, Lulu, Ornn, Sylas, TrainerDragon, Twitch, Varus",1,1.0,55,1,1.0
"DragonPurple, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,56,78,4.312109187109187
"DragonPurple, Ezreal, Ornn, Pyke, Shen, Sylas, Thresh, Varus",1,1.0,25,655,4.47806193258104
"Aatrox, Bard, DragonGold, Kayn, Ornn, Soraka, Talon, Zoe",1,1.0,57,1,1.0
"Anivia, Ashe, DragonGreen, Gnar, Karma, Neeko, Pyke, Soraka, Taric",1,1.0,18,1288,4.451359161763066
"Bard, DragonBlue, Hecarim, Neeko, Nunu, Sejuani, Soraka, Talon, Twitch, Yasuo",1,1.0,22,26,4.0
"Aatrox, Bard, DragonGold, Kayn, Pyke, Soraka, Yasuo, Zoe",1,1.0,54,28,2.9434782608695653
"Aatrox, Bard, DragonGold, Kayn, Pyke, Xayah, Yasuo, Zoe",1,1.0,54,28,2.9434782608695653
"Anivia, Ashe, DragonGreen, Gnar, Karma, Neeko, Soraka, Xayah, Yasuo",1,1.0,18,1288,4.451359161763066
